2024-11-17 16:22:16,Anitta,84
2024-11-17 16:22:16,Myke Towers,90
2024-11-17 16:22:16,benny blanco,78
2024-11-17 16:22:16,JENNIE,83
2024-11-17 16:22:16,Don Toliver,88
2024-11-17 16:22:16,Post Malone,91
2024-11-17 16:22:16,Hozier,86
2024-11-17 16:22:16,Myles Smith,79
2024-11-17 16:22:16,The Marías,79
2024-11-17 16:22:16,Oscar Maydon,87
2024-11-17 16:22:16,Fuerza Regida,91
2024-11-17 16:22:16,Dasha,75
2024-11-17 16:22:16,KATSEYE,75
2024-11-17 16:22:16,Taylor Swift,100
2024-11-17 16:22:16,Benson Boone,86
2024-11-17 16:22:16,Ariana Grande,93
2024-11-17 16:22:16,Mark Ambor,75
2024-11-17 16:22:16,Teddy Swims,86
2024-11-17 16:22:16,KAROL G,91
2024-11-17 16:22:16,Feid,92
2024-11-17 16:22:16,DFZM,69
2024-11-17 16:22:16,Ovy On The Drums,80
2024-11-17 16:22:16,J Balvin,88
2024-11-17 16:22:16,Maluma,87
2024-11-17 16:22:16,Ryan Castro,81
2024-11-17 16:22:16,Blessd,83
2024-11-17 16:22:16,Djo,76
2024-11-17 16:22:16,Omar Courtz,82
2024-11-17 16:22:16,De La Rose,79
2024-11-17 16:22:16,Kendrick Lamar,92
2024-11-17 16:22:16,Linkin Park,92
2024-11-17 16:22:16,Ndotz,74
2024-11-17 16:22:16,Artemas,79
2024-11-17 16:22:16,Jimin,89
2024-11-18 13:55:53,Sabrina Carpenter,94
2024-11-18 13:55:53,Lady Gaga,92
2024-11-18 13:55:53,Bruno Mars,96
2024-11-18 13:55:53,Gracie Abrams,90
2024-11-18 13:55:53,ROSÉ,85
2024-11-18 13:55:53,Billie Eilish,96
2024-11-18 13:55:53,Chappell Roan,89
2024-11-18 13:55:53,Addison Rae,76
2024-11-18 13:55:53,The Weeknd,96
2024-11-18 13:55:53,Playboi Carti,90
2024-11-18 13:55:53,Charli xcx,88
2024-11-18 13:55:53,Gigi Perez,81
2024-11-18 13:55:53,Shaboozey,80
2024-11-18 13:55:53,LISA,83
2024-11-18 13:55:53,Tate McRae,86
2024-11-18 13:55:53,Morgan Wallen,91
2024-11-18 13:55:53,Tommy Richman,78
2024-11-18 13:55:53,"Tyler, The Creator",95
2024-11-18 13:55:53,Teezo Touchdown,75
2024-11-18 13:55:53,Adam Port,77
2024-11-18 13:55:53,Stryv,75
2024-11-18 13:55:53,Keinemusik,78
2024-11-18 13:55:53,Orso,75
2024-11-18 13:55:53,Malachiii,75
2024-11-18 13:55:53,Anitta,84
2024-11-18 13:55:53,Myke Towers,90
2024-11-18 13:55:53,benny blanco,78
2024-11-18 13:55:53,JENNIE,83
2024-11-18 13:55:53,Don Toliver,88
2024-11-18 13:55:53,Post Malone,91
2024-11-18 13:55:53,Hozier,86
2024-11-18 13:55:53,Myles Smith,79
2024-11-18 13:55:53,The Marías,79
2024-11-18 13:55:53,Oscar Maydon,88
2024-11-18 13:55:53,Fuerza Regida,91
2024-11-18 13:55:53,Dasha,75
2024-11-18 13:55:53,KATSEYE,75
2024-11-18 13:55:53,Taylor Swift,100
2024-11-18 13:55:53,Benson Boone,86
2024-11-18 13:55:53,Ariana Grande,93
2024-11-18 13:55:53,Mark Ambor,75
2024-11-18 13:55:53,Teddy Swims,86
2024-11-18 13:55:53,KAROL G,91
2024-11-18 13:55:53,Feid,92
2024-11-18 13:55:53,DFZM,69
2024-11-18 13:55:53,Ovy On The Drums,80
2024-11-18 13:55:53,J Balvin,88
2024-11-18 13:55:53,Maluma,87
2024-11-18 13:55:53,Ryan Castro,81
2024-11-18 13:55:53,Blessd,83
2024-11-18 13:55:53,Djo,76
2024-11-18 13:55:53,Omar Courtz,82
2024-11-18 13:55:53,De La Rose,79
2024-11-18 13:55:53,Kendrick Lamar,92
2024-11-18 13:55:53,Linkin Park,93
2024-11-18 13:55:53,Ndotz,74
2024-11-18 13:55:53,Artemas,79
2024-11-18 13:55:53,Jimin,89
2024-11-18 13:56:35,Sabrina Carpenter,94
2024-11-18 13:56:35,Lady Gaga,92
2024-11-18 13:56:35,Bruno Mars,96
2024-11-18 13:56:35,Gracie Abrams,90
2024-11-18 13:56:35,ROSÉ,85
2024-11-18 13:56:35,Billie Eilish,96
2024-11-18 13:56:35,Chappell Roan,89
2024-11-18 13:56:35,Addison Rae,76
2024-11-18 13:56:35,The Weeknd,96
2024-11-18 13:56:35,Playboi Carti,90
